surveyID,DO,PD,C,I,DOC,DOI,POC,POI,resp_accuracy,mean_prop,missing_entries,bad_subj
r9lo90ts20200130,0.8,0.75,0.625,1,0.6666666666666666,1,0.6,1,0.95,0.7692307692307693,7,TRUE
s1somgf720200211,0.4,0.1,0.3,0.2,0.4,0.4,0.2,0,0.9,0.25,0,FALSE
s55aohfe20200128,0.375,0.2222222222222222,0.14285714285714285,0.4,0.3333333333333333,0.4,0,0.4,1,0.29411764705882354,3,FALSE
svolj44520201207,1,0.8,0.8,1,1,1,0.6,1,1,0.9,0,FALSE
sw68ajzc20200213,1,0.3,0.6,0.7,1,1,0.2,0.4,0.9,0.65,0,FALSE
t7dcx8xl20201203,0.8888888888888888,1,1,0.8888888888888888,1,0.75,1,1,0.95,0.9473684210526315,1,FALSE
t9cdwyon20200113,1,0.7,0.9,0.8,1,1,0.8,0.6,0.95,0.85,0,FALSE
tkmy795t20200211,1,0.8,0.9,0.9,1,1,0.8,0.8,1,0.9,0,FALSE
ucnl2x7f20200212,1,0.8,0.9,0.9,1,1,0.8,0.8,1,0.9,0,FALSE
utt2nnyo20200113,0.7,0.4,0.5,0.6,0.6,0.8,0.4,0.4,0.8,0.55,0,FALSE
uy7f303a20201124,0.9,0.3,0.7,0.5,1,0.8,0.4,0.2,1,0.6,0,FALSE
vbv8ea3920201207,1,0.8,0.9,0.9,1,1,0.8,0.8,1,0.9,0,FALSE
vd9r5nk020201111,0.75,0.875,0.8888888888888888,0.7142857142857143,1,0.3333333333333333,0.75,1,0.75,0.8125,4,FALSE
vmm0jyvv20200217,0.9,0.2,0.5,0.6,0.8,1,0.2,0.2,0.95,0.55,0,FALSE
vomf13pu20200214,0.2,0.6,0.5,0.3333333333333333,0,0.25,0.6666666666666666,0.5,1,0.4,10,TRUE
w0wujzqz20201208,0.7,0.4,0.8,0.3,0.8,0.6,0.8,0,0.9,0.55,0,FALSE
x2qq61ea20200129,1,0.7,0.7142857142857143,0.8888888888888888,1,1,0.6,0.8,0.9,0.8125,4,FALSE
x9y7eeqv20201103,0.1,0.1,0,0.2,0,0.2,0,0.2,1,0.1,0,FALSE
xgy75o3f20201206,0.75,0.8333333333333334,0.75,0.8333333333333334,0.75,0.75,0.75,1,0.95,0.7857142857142857,6,TRUE
y5qncmp920200228,0.8,0.4,0.6,0.6,0.6,1,0.6,0.2,0.9,0.6,0,FALSE
y8u8ss9t20201107,0.7142857142857143,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,1,0.85,0.7692307692307693,7,TRUE
ygepr20b20201121,1,1,1,1,1,1,1,1,0.95,1,0,FALSE
yr4btkgb20201126,0.8888888888888888,0.5,0.6,0.7777777777777778,0.8,1,0.4,0.6,0.95,0.6842105263157895,1,FALSE
za0p1wmj20201115,1,0.9,1,0.9,1,1,1,0.8,0.95,0.95,0,FALSE
zalhzd5l20201120,1,1,1,1,1,1,1,1,0.95,1,0,FALSE
zes08nnl20201116,0.625,0.8888888888888888,0.875,0.6666666666666666,0.75,0.5,1,0.8,0.95,0.7647058823529411,3,FALSE
