,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,min_rmse
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,1404.0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,0.2633106841610251
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.41821864979718854
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.5493598995148162
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.43516136806370365
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.3521303869319169
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.6179458984197244
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,625.0,0.5,0.7,0.5,0.5,0.75,0.774,0.29,0.21,3.2,0.28785104292417046
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,1263.0,1.5,0.3,1.0,0.7,0.602,0.6920000000000001,0.44,0.34,2.8,0.32606394080465223
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,1289.0,1.5,0.3,1.0,1.0,0.524,0.6940000000000001,0.386,0.322,3.6,0.5187536578505795
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,1181.0,1.0,0.9,1.0,0.9,0.574,0.792,0.344,0.27,3.6,0.43005189571514835
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,1380.0,1.5,0.7,0.5,1.0,0.578,0.62,0.418,0.41,2.8,0.5782999948820113
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,1275.0,1.5,0.3,1.0,0.9,0.5579999999999999,0.624,0.41,0.308,2.8,0.3266051760336277
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.5161128215545525
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,1296.0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,0.5933401114297547
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,1176.0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,0.4830087592188605
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5771386000179632
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,936.0,0.75,0.9,0.5,0.9,0.6920000000000001,0.754,0.38,0.32,2.8,0.4072562460410025
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,180.0,0.1,0.7,0.5,1.0,0.996,0.998,0.008,0.0,2.8,0.3801986010462203
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.43008474679445713
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,1331.0,1.5,0.5,2.0,0.9,0.564,0.778,0.48,0.21600000000000003,3.6,0.2719204897151905
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.6425432786889514
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,1380.0,1.5,0.7,0.5,1.0,0.578,0.62,0.418,0.41,2.8,0.5782999948820113
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5793062384067601
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,672.0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,0.20173272589720537
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5664314735896016
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,1212.0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,0.5721134158134813
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,1284.0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,0.2799488716441967
