mid,ans,bll,lf,mas,ga,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
200,0.1,0.9,0.5,3.6,1.5,0.992,1,0.008,0,0.02712932,0,0.02712932,0
201,0.1,0.9,0.5,2.8,2,0.994,1,0.006,0,0.031048349,0,0.023748684,0
202,0.1,0.9,0.5,3.2,2,0.998,1,0.008,0,0.014,0,0.02712932,0
203,0.1,0.9,0.5,3.6,2,0.996,1,0.004,0,0.019595918,0,0.019595918,0
204,0.1,0.9,0.7,2.8,0.5,0.992,1,0.006,0,0.02712932,0,0.023748684,0
205,0.1,0.9,0.7,3.2,0.5,0.996,1,0.012,0,0.019595918,0,0.032496154,0
206,0.1,0.9,0.7,3.6,0.5,0.992,1,0.002,0,0.02712932,0,0.014,0
207,0.1,0.9,0.7,2.8,1,0.996,1,0.008,0,0.019595918,0,0.02712932,0
208,0.1,0.9,0.7,3.2,1,0.994,1,0.004,0,0.023748684,0,0.019595918,0
209,0.1,0.9,0.7,3.6,1,0.996,1,0.004,0,0.019595918,0,0.019595918,0
210,0.1,0.9,0.7,2.8,1.5,0.996,1,0.002,0,0.019595918,0,0.014,0
211,0.1,0.9,0.7,3.2,1.5,0.998,1,0.006,0,0.014,0,0.023748684,0
212,0.1,0.9,0.7,3.6,1.5,0.994,1,0.002,0,0.023748684,0,0.014,0
213,0.1,0.9,0.7,2.8,2,0.992,1,0.004,0,0.02712932,0,0.019595918,0
214,0.1,0.9,0.7,3.2,2,0.998,1,0.008,0,0.014,0,0.02712932,0
215,0.1,0.9,0.7,3.6,2,0.996,1,0.006,0,0.019595918,0,0.023748684,0
216,0.1,0.9,0.9,2.8,0.5,0.994,1,0.008,0,0.031048349,0,0.02712932,0
217,0.1,0.9,0.9,3.2,0.5,0.996,1,0.006,0,0.019595918,0,0.023748684,0
218,0.1,0.9,0.9,3.6,0.5,0.994,1,0.008,0,0.023748684,0,0.02712932,0
219,0.1,0.9,0.9,2.8,1,0.992,1,0.008,0,0.02712932,0,0.02712932,0
220,0.1,0.9,0.9,3.2,1,1,1,0,0,0,0,0,0
221,0.1,0.9,0.9,3.6,1,0.988,1,0.01,0,0.032496154,0,0.03,0
222,0.1,0.9,0.9,2.8,1.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
223,0.1,0.9,0.9,3.2,1.5,0.996,1,0.01,0,0.019595918,0,0.03,0
224,0.1,0.9,0.9,3.6,1.5,0.998,1,0.004,0,0.014,0,0.019595918,0
225,0.1,0.9,0.9,2.8,2,0.994,1,0.01,0,0.023748684,0,0.03,0
226,0.1,0.9,0.9,3.2,2,0.994,1,0.006,0,0.023748684,0,0.023748684,0
227,0.1,0.9,0.9,3.6,2,0.992,1,0.01,0,0.033704599,0,0.03,0
228,0.1,0.9,1,2.8,0.5,0.996,1,0,0,0.019595918,0,0,0
229,0.1,0.9,1,3.2,0.5,0.996,1,0.004,0,0.019595918,0,0.019595918,0
230,0.1,0.9,1,3.6,0.5,0.994,1,0.004,0,0.023748684,0,0.019595918,0
