,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,mid,min_rmse
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,True,0.9,1.0,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.594763620332876
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,True,1.0,0.7,0,0.75,0.7,0.5,0.7,0.652,0.6659999999999999,0.342,0.322,2.8,876.0,0.41650515579177305
50,byybve5p20200301,0.75,0.75,0.8,0.4,True,0.8888888888888888,0.6666666666666666,2,1.5,0.7,1.5,1.0,0.602,0.696,0.474,0.32,2.8,1386.0,0.3484523599100745
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,True,1.0,0.2857142857142857,6,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,1344.0,0.5934220018236627
52,ct0z9wus20201202,0.0,0.0,,0.0,False,1.0,0.0,17,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,1344.0,100.0
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,True,0.85,0.75,0,0.5,0.9,0.5,0.5,0.732,0.8420000000000001,0.28,0.23199999999999998,2.8,672.0,0.40595490744982243
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,False,0.9444444444444444,0.3888888888888889,2,1.5,0.1,1.5,0.5,0.63,0.706,0.43,0.252,3.6,1208.0,0.32822146954350373
55,dkhfaswf20200127,0.6,0.6666666666666666,0.6,0.2,True,1.0,0.5,2,1.5,0.5,2.0,0.9,0.564,0.778,0.48,0.21600000000000003,3.6,1331.0,0.2109891266986878
56,dua9l90b20201126,1.0,0.6,0.8,0.2,False,0.9473684210526316,0.631578947368421,1,1.5,0.1,1.5,0.5,0.63,0.706,0.43,0.252,3.6,1208.0,0.6358068826530527
57,e8v50m3620201123,1.0,0.6,0.6,0.75,False,1.0,0.7368421052631579,1,1.5,0.7,0.5,0.7,0.62,0.61,0.43200000000000005,0.38799999999999996,2.8,1356.0,0.53126828458956
58,epegm9yj20201204,1.0,0.6,1.0,0.6,False,0.95,0.8,0,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.6615584147314415
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,False,1.0,0.7,0,0.75,0.7,0.5,0.5,0.688,0.738,0.39799999999999996,0.336,2.8,864.0,0.35889685043108704
60,etva11td20201113,1.0,1.0,0.4,0.4,False,0.95,0.7,0,0.5,0.9,0.5,1.0,0.7440000000000001,0.8,0.262,0.20800000000000002,2.8,708.0,0.2586960897756869
61,eychrpxv20201114,1.0,1.0,0.8,1.0,False,1.0,0.95,0,1.5,0.7,0.5,1.0,0.578,0.62,0.418,0.41,2.8,1380.0,0.5837801690347146
62,f10pqxun20200128,0.8,0.8,0.4,0.2,True,1.0,0.55,0,0.5,0.7,0.5,0.9,0.74,0.8,0.308,0.168,2.8,648.0,0.10955914236049202
63,f5y8cohy20201116,0.0,0.6666666666666666,0.0,0.0,False,0.9411764705882352,0.1176470588235294,3,1.0,0.7,2.0,0.9,0.528,0.838,0.392,0.168,3.2,1138.0,0.5964976672380119
64,f94kjs2s20201109,0.6666666666666666,0.5,1.0,0.5,False,0.8888888888888888,0.6666666666666666,11,1.5,0.3,0.5,1.0,0.618,0.622,0.47,0.402,2.8,1284.0,0.6134112332470112
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,True,0.9,0.85,0,1.5,0.5,0.5,0.5,0.6,0.67,0.414,0.406,2.8,1296.0,0.750304431948229
