,ans,bll,lf,mas,ga,rmse,DOC,DOI,POC,POI
149,0.1,0.7,0.5,3.6,1.0,0.9363979399228143,0.998,1.0,0.002,0.0
150,0.1,0.7,0.5,2.8,1.5,0.9343431257514814,0.99,1.0,0.0,0.0
151,0.1,0.7,0.5,3.2,1.5,0.9344484222212837,0.996,1.0,0.004,0.0
152,0.1,0.7,0.5,3.6,1.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
153,0.1,0.7,0.5,2.8,2.0,0.9328472797786997,0.9919999999999999,1.0,0.004,0.0
154,0.1,0.7,0.5,3.2,2.0,0.9324079760198514,0.9879999999999999,1.0,0.002,0.0
155,0.1,0.7,0.5,3.6,2.0,0.9320539151694823,0.99,1.0,0.004,0.0
156,0.1,0.7,0.7,2.8,0.5,0.9310485528158727,0.996,1.0,0.01,0.0
157,0.1,0.7,0.7,3.2,0.5,0.9321774999017848,0.996,1.0,0.008,0.0
158,0.1,0.7,0.7,3.6,0.5,0.9249732548203826,0.9919999999999999,1.0,0.018,0.0
159,0.1,0.7,0.7,2.8,1.0,0.9309157987459034,0.9899999999999999,1.0,0.006000000000000001,0.0
160,0.1,0.7,0.7,3.2,1.0,0.9309157987459034,0.99,1.0,0.006000000000000001,0.0
161,0.1,0.7,0.7,3.6,1.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
162,0.1,0.7,0.7,2.8,1.5,0.9344484222212837,0.996,1.0,0.004,0.0
163,0.1,0.7,0.7,3.2,1.5,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
164,0.1,0.7,0.7,3.6,1.5,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
165,0.1,0.7,0.7,2.8,2.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
166,0.1,0.7,0.7,3.2,2.0,0.9321774999017848,0.996,1.0,0.008,0.0
167,0.1,0.7,0.7,3.6,2.0,0.9355903678842525,0.996,1.0,0.002,0.0
168,0.1,0.7,0.9,2.8,0.5,0.9330572335505102,0.996,1.0,0.004,0.002
169,0.1,0.7,0.9,3.2,0.5,0.9344484222212837,0.996,1.0,0.004,0.0
170,0.1,0.7,0.9,3.6,0.5,0.9289931874506716,0.9879999999999999,1.0,0.008,0.0
171,0.1,0.7,0.9,2.8,1.0,0.9344484222212837,0.996,1.0,0.004,0.0
172,0.1,0.7,0.9,3.2,1.0,0.9343431257514814,0.9899999999999999,1.0,0.0,0.0
173,0.1,0.7,0.9,3.6,1.0,0.9331963624645021,0.9899999999999999,1.0,0.002,0.0
174,0.1,0.7,0.9,2.8,1.5,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
175,0.1,0.7,0.9,3.2,1.5,0.9321774999017848,0.996,1.0,0.008,0.0
176,0.1,0.7,0.9,3.6,1.5,0.9328472797786997,0.9919999999999999,1.0,0.004,0.0
177,0.1,0.7,0.9,2.8,2.0,0.9328472797786997,0.992,1.0,0.004,0.0
178,0.1,0.7,0.9,3.2,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
179,0.1,0.7,0.9,3.6,2.0,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
180,0.1,0.7,1.0,2.8,0.5,0.9315568026295742,0.996,0.998,0.008,0.0
181,0.1,0.7,1.0,3.2,0.5,0.9302450907712483,0.9940000000000001,1.0,0.01,0.0
182,0.1,0.7,1.0,3.6,0.5,0.9355903678842525,0.996,1.0,0.002,0.0
183,0.1,0.7,1.0,2.8,1.0,0.9367366168281924,0.996,1.0,0.0,0.0
184,0.1,0.7,1.0,3.2,1.0,0.9283215509150804,0.9919999999999999,1.0,0.012,0.0
185,0.1,0.7,1.0,3.6,1.0,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
186,0.1,0.7,1.0,2.8,1.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
187,0.1,0.7,1.0,3.2,1.5,0.9375440059913469,0.998,1.0,0.0,0.0
188,0.1,0.7,1.0,3.6,1.5,0.9326698598461178,1.0,1.0,0.01,0.0
189,0.1,0.7,1.0,2.8,2.0,0.9321774999017848,0.996,1.0,0.008,0.0
190,0.1,0.7,1.0,3.2,2.0,0.9321774999017848,0.996,1.0,0.008,0.0
191,0.1,0.7,1.0,3.6,2.0,0.9352561729025655,0.998,1.0,0.004,0.0
192,0.1,0.9,0.5,2.8,0.5,0.9280426508095445,0.9919999999999999,1.0,0.01,0.002
193,0.1,0.9,0.5,3.2,0.5,0.9328472797786997,0.9919999999999999,1.0,0.004,0.0
194,0.1,0.9,0.5,3.6,0.5,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
195,0.1,0.9,0.5,2.8,1.0,0.9355903678842525,0.996,1.0,0.002,0.0
196,0.1,0.9,0.5,3.2,1.0,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
197,0.1,0.9,0.5,3.6,1.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
198,0.1,0.9,0.5,2.8,1.5,0.9321774999017848,0.996,1.0,0.008,0.0
199,0.1,0.9,0.5,3.2,1.5,0.9310485528158727,0.996,1.0,0.01,0.0
200,0.1,0.9,0.5,3.6,1.5,0.9305757027691564,0.9919999999999999,1.0,0.008,0.0
201,0.1,0.9,0.5,2.8,2.0,0.9325076570456133,0.9940000000000001,1.0,0.006000000000000001,0.0
202,0.1,0.9,0.5,3.2,2.0,0.9329855950531163,0.998,1.0,0.008,0.0
203,0.1,0.9,0.5,3.6,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
204,0.1,0.9,0.7,2.8,0.5,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
205,0.1,0.9,0.7,3.2,0.5,0.9299239681505853,0.996,1.0,0.012,0.0
206,0.1,0.9,0.7,3.6,0.5,0.9339895656114079,0.9919999999999999,1.0,0.002,0.0
207,0.1,0.9,0.7,2.8,1.0,0.9321774999017848,0.996,1.0,0.008,0.0
208,0.1,0.9,0.7,3.2,1.0,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
209,0.1,0.9,0.7,3.6,1.0,0.9344484222212837,0.996,1.0,0.004,0.0
210,0.1,0.9,0.7,2.8,1.5,0.9355903678842525,0.996,1.0,0.002,0.0
211,0.1,0.9,0.7,3.2,1.5,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
212,0.1,0.9,0.7,3.6,1.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
213,0.1,0.9,0.7,2.8,2.0,0.9328472797786997,0.9919999999999999,1.0,0.004,0.0
214,0.1,0.9,0.7,3.2,2.0,0.9329855950531163,0.998,1.0,0.008,0.0
215,0.1,0.9,0.7,3.6,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
216,0.1,0.9,0.9,2.8,0.5,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
217,0.1,0.9,0.9,3.2,0.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
218,0.1,0.9,0.9,3.6,0.5,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
219,0.1,0.9,0.9,2.8,1.0,0.9305757027691565,0.992,1.0,0.008,0.0
220,0.1,0.9,0.9,3.2,1.0,0.9383561520237018,1.0,1.0,0.0,0.0
221,0.1,0.9,0.9,3.6,1.0,0.9278636346161655,0.988,1.0,0.01,0.0
222,0.1,0.9,0.9,2.8,1.5,0.9344484222212837,0.996,1.0,0.004,0.0
223,0.1,0.9,0.9,3.2,1.5,0.9310485528158727,0.996,1.0,0.01,0.0
224,0.1,0.9,0.9,3.6,1.5,0.9352561729025655,0.998,1.0,0.004,0.0
225,0.1,0.9,0.9,2.8,2.0,0.9302450907712483,0.9939999999999999,1.0,0.01,0.0
226,0.1,0.9,0.9,3.2,2.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
227,0.1,0.9,0.9,3.6,2.0,0.9294464412793979,0.9919999999999999,1.0,0.01,0.0
228,0.1,0.9,1.0,2.8,0.5,0.9367366168281924,0.996,1.0,0.0,0.0
229,0.1,0.9,1.0,3.2,0.5,0.9344484222212837,0.996,1.0,0.004,0.0
230,0.1,0.9,1.0,3.6,0.5,0.9336454533198099,0.9940000000000001,1.0,0.004,0.0
231,0.1,0.9,1.0,2.8,1.0,0.9328472797786997,0.992,1.0,0.004,0.0
232,0.1,0.9,1.0,3.2,1.0,0.9302450907712483,0.9939999999999999,1.0,0.01,0.0
233,0.1,0.9,1.0,3.6,1.0,0.9327714970856568,0.986,1.0,0.0,0.0
234,0.1,0.9,1.0,2.8,1.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
235,0.1,0.9,1.0,3.2,1.5,0.9304257159688966,1.0,1.0,0.013999999999999999,0.0
236,0.1,0.9,1.0,3.6,1.5,0.9344484222212837,0.996,1.0,0.004,0.0
237,0.1,0.9,1.0,2.8,2.0,0.934118719693167,0.998,1.0,0.006000000000000001,0.0
238,0.1,0.9,1.0,3.2,2.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
239,0.1,0.9,1.0,3.6,2.0,0.9329855950531163,0.998,1.0,0.008,0.0
240,0.25,0.1,0.5,2.8,0.5,0.7791645091203816,0.8799999999999994,0.9379999999999998,0.12599999999999997,0.04200000000000001
241,0.25,0.1,0.5,3.2,0.5,0.7933764850401728,0.8479999999999996,0.9679999999999999,0.11399999999999996,0.03400000000000001
242,0.25,0.1,0.5,3.6,0.5,0.811619437860022,0.8839999999999997,0.9759999999999998,0.10400000000000002,0.032
243,0.25,0.1,0.5,2.8,1.0,0.8050926470567916,0.8559999999999997,0.9719999999999998,0.13199999999999995,0.013999999999999999
244,0.25,0.1,0.5,3.2,1.0,0.8273266849142341,0.8319999999999997,0.9940000000000001,0.09799999999999999,0.01
245,0.25,0.1,0.5,3.6,1.0,0.8174138208454953,0.8699999999999996,0.998,0.15599999999999997,0.004
246,0.25,0.1,0.5,2.8,1.5,0.8191136199359281,0.8819999999999995,0.996,0.14799999999999994,0.008
247,0.25,0.1,0.5,3.2,1.5,0.8271871325744979,0.8639999999999994,1.0,0.13399999999999992,0.002
248,0.25,0.1,0.5,3.6,1.5,0.8309809785942762,0.8799999999999997,0.9939999999999999,0.13199999999999998,0.0
249,0.25,0.1,0.5,2.8,2.0,0.827959410830241,0.8559999999999997,0.998,0.12999999999999998,0.0
250,0.25,0.1,0.5,3.2,2.0,0.8230446314818674,0.8939999999999998,1.0,0.16799999999999993,0.0
251,0.25,0.1,0.5,3.6,2.0,0.8292068073102195,0.8619999999999999,1.0,0.12799999999999995,0.002
252,0.25,0.1,0.7,2.8,0.5,0.7734248000871129,0.8859999999999998,0.9639999999999996,0.12999999999999998,0.060000000000000026
253,0.25,0.1,0.7,3.2,0.5,0.7852429318988304,0.8839999999999999,0.9619999999999997,0.15199999999999997,0.032000000000000015
254,0.25,0.1,0.7,3.6,0.5,0.8093715576282294,0.8919999999999998,0.9759999999999998,0.12399999999999999,0.026000000000000002
255,0.25,0.1,0.7,2.8,1.0,0.8178299019438522,0.8979999999999998,0.9859999999999998,0.128,0.019999999999999997
256,0.25,0.1,0.7,3.2,1.0,0.8139697812664124,0.8519999999999998,0.988,0.14,0.006000000000000001
257,0.25,0.1,0.7,3.6,1.0,0.8324341199556831,0.8759999999999998,0.996,0.128,0.0
