,subjID,DOC,DOI,POC,POI,mid,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,rmse
46,blhofw6920201105,1.0,1.0,0.4,0.6,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.4413526907455356
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.32861970452558503
50,byybve5p20200301,0.75,0.75,0.8,0.4,132.0,1.5,0.3,0.5,0.604,0.6080000000000001,0.4480000000000001,0.3920000000000001,0.3264254199126501
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
52,ct0z9wus20201202,0.0,0.0,,0.0,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,58.0,0.5,0.3,0.7,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001,0.4413526907455356
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
55,dkhfaswf20200127,0.6,0.667,0.6,0.2,103.0,1.0,0.1,0.7,0.584,0.6160000000000001,0.43000000000000016,0.3680000000000001,0.3378337689166162
56,dua9l90b20201126,1.0,0.6,0.8,0.2,82.0,0.75,0.3,0.5,0.68,0.6460000000000001,0.37600000000000017,0.32,0.3719152493801525
57,e8v50m3620201123,1.0,0.6,0.6,0.75,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
58,epegm9yj20201204,1.0,0.6,1.0,0.6,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,73.0,0.5,0.9,0.7,0.7479999999999998,0.7299999999999999,0.326,0.2800000000000001,0.4232763092782773
60,etva11td20201113,1.0,1.0,0.4,0.4,32.0,0.25,0.3,0.5,0.8659999999999997,0.8599999999999995,0.14799999999999994,0.1519999999999999,0.6585492485085799
