,subjID,DOC,DOI,POC,POI,mid,ans,bll,ga,lf,mDOC,mDOI,mPOC,mPOI,mas,rmse
60,etva11td20201113,1.0,1.0,0.4,0.4,708.0,0.5,0.9,0.5,1.0,0.7440000000000001,0.8,0.262,0.208,2.8,0.5129627998468079
61,eychrpxv20201114,1.0,1.0,0.8,1.0,1380.0,1.5,0.7,0.5,1.0,0.5780000000000002,0.6200000000000001,0.4180000000000001,0.4099999999999999,2.8,0.298518876332036
62,f10pqxun20200128,0.8,0.8,0.4,0.2,648.0,0.5,0.7,0.5,0.9,0.7399999999999998,0.7999999999999997,0.30800000000000005,0.16799999999999998,2.8,0.5353350881692751
63,f5y8cohy20201116,0.0,0.667,0.0,0.0,1138.0,1.0,0.7,2.0,0.9,0.5280000000000001,0.838,0.392,0.16799999999999993,3.2,0.5775309604284463
64,f94kjs2s20201109,0.667,0.5,1.0,0.5,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,1296.0,1.5,0.5,0.5,0.5,0.6,0.6699999999999998,0.41400000000000015,0.4059999999999999,2.8,0.2840324877194348
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,1331.0,1.5,0.5,2.0,0.9,0.5640000000000002,0.7780000000000001,0.4799999999999999,0.21600000000000005,3.6,0.5102337299593624
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
68,frcsr9et20201201,1.0,0.6,0.4,0.4,804.0,0.75,0.3,0.5,1.0,0.6679999999999998,0.67,0.3280000000000001,0.276,2.8,0.408833482366668
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,1396.0,1.5,0.9,1.0,0.5,0.5279999999999998,0.6800000000000003,0.4100000000000001,0.3720000000000001,3.2,0.35150374413999563
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
71,g3raaqac20201201,0.4,1.0,0.8,0.6,1364.0,1.5,0.7,1.5,0.7,0.5459999999999998,0.7719999999999998,0.4340000000000001,0.2700000000000001,3.6,0.4553986159938617
72,gksx3mam20201104,0.6,0.0,0.2,0.2,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
73,hgg52m4220200227,0.8,0.6,0.0,0.0,240.0,0.25,0.1,0.5,0.5,0.8799999999999994,0.9379999999999998,0.12599999999999995,0.04200000000000001,2.8,0.7791645091203816
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
75,jh3ododj20201104,1.0,1.0,0.8,0.8,1203.0,1.5,0.1,1.0,0.5,0.6360000000000001,0.6659999999999999,0.43,0.3900000000000001,2.8,0.2979132939322536
76,jhs83ny320200302,0.8,0.6,0.8,0.8,1404.0,1.5,0.9,0.5,0.7,0.5840000000000001,0.562,0.4320000000000001,0.392,2.8,0.3499181374258609
77,jsandtsm20201116,1.0,0.8,0.8,0.6,1284.0,1.5,0.3,0.5,1.0,0.6179999999999999,0.622,0.4699999999999999,0.4020000000000001,2.8,0.31906868455426823
