,alpha,egs,r1,r2,rmse,DOC,DOI,POC,POI
574,0.7,0.01,10.0,-0.1,1.394646564919659,1.0,0.0,0.0,1.0
575,0.7,0.01,10.0,0.0,1.3884010525015704,1.0,0.006000000000000001,0.0,0.998
576,0.7,0.1,0.0,-10.0,1.095224663065675,0.36200000000000004,0.0,0.5820000000000001,1.0
577,0.7,0.1,0.0,-5.0,1.0953312434976474,0.3660000000000001,0.0,0.6180000000000001,1.0
578,0.7,0.1,0.0,-1.0,1.086261612175616,0.366,0.004,0.5980000000000001,0.9919999999999999
579,0.7,0.1,0.0,-0.5,1.0337370308173446,0.3620000000000001,0.04600000000000001,0.6119999999999999,0.964
580,0.7,0.1,0.0,-0.1,0.7364861867600498,0.382,0.254,0.628,0.732
581,0.7,0.1,0.0,0.0,0.5865097552868868,0.4260000000000001,0.38,0.634,0.6099999999999999
582,0.7,0.1,0.1,-10.0,1.0839080786796123,0.5000000000000001,0.0,0.4739999999999999,1.0
583,0.7,0.1,0.1,-5.0,1.0811061740416046,0.49,0.0,0.5000000000000001,1.0
584,0.7,0.1,0.1,-1.0,1.0839809279184196,0.4879999999999998,0.002,0.44999999999999984,0.996
585,0.7,0.1,0.1,-0.5,1.0000873343819685,0.49800000000000005,0.046000000000000006,0.5539999999999999,0.946
586,0.7,0.1,0.1,-0.1,0.6504644606111009,0.502,0.29,0.48599999999999993,0.7180000000000003
587,0.7,0.1,0.1,0.0,0.521843277614508,0.4859999999999999,0.39399999999999996,0.4820000000000001,0.6240000000000001
588,0.7,0.1,0.5,-10.0,1.270577118999006,0.8819999999999996,0.0,0.13199999999999998,1.0
589,0.7,0.1,0.5,-5.0,1.2566199034253935,0.8419999999999999,0.0,0.132,1.0
590,0.7,0.1,0.5,-1.0,1.2600684296863893,0.8639999999999993,0.002,0.134,0.998
591,0.7,0.1,0.5,-0.5,1.1963173637773417,0.8759999999999998,0.060000000000000026,0.124,0.9619999999999997
592,0.7,0.1,0.5,-0.1,0.8595833935490623,0.8879999999999996,0.29200000000000004,0.14199999999999993,0.704
593,0.7,0.1,0.5,0.0,0.7295366633709868,0.8799999999999996,0.3999999999999999,0.15999999999999992,0.6320000000000003
594,0.7,0.1,1.0,-10.0,1.3898093470416524,0.992,0.0,0.002,1.0
595,0.7,0.1,1.0,-5.0,1.3903818579570082,0.996,0.0,0.004,1.0
596,0.7,0.1,1.0,-1.0,1.382839115766973,0.988,0.002,0.004,0.996
597,0.7,0.1,1.0,-0.5,1.3184568504390994,0.9939999999999999,0.05200000000000002,0.008,0.9559999999999996
598,0.7,0.1,1.0,-0.1,1.0368749222039195,0.996,0.25800000000000006,0.006000000000000001,0.7020000000000001
599,0.7,0.1,1.0,0.0,0.8970884542771347,0.996,0.4020000000000001,0.006000000000000001,0.58
600,0.7,0.1,5.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
601,0.7,0.1,5.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
602,0.7,0.1,5.0,-1.0,1.3924200245434566,1.0,0.0,0.0,0.996
603,0.7,0.1,5.0,-0.5,1.3447983135577046,1.0,0.03400000000000001,0.0,0.9619999999999997
604,0.7,0.1,5.0,-0.1,1.0256749660372086,1.0,0.284,0.0,0.7080000000000001
605,0.7,0.1,5.0,0.0,0.9348611632449111,1.0,0.3660000000000001,0.0,0.6059999999999999
606,0.7,0.1,10.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
607,0.7,0.1,10.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
608,0.7,0.1,10.0,-1.0,1.393531903339138,1.0,0.0,0.0,0.998
609,0.7,0.1,10.0,-0.5,1.3140133905585372,1.0,0.05400000000000002,0.0,0.9359999999999995
610,0.7,0.1,10.0,-0.1,1.0315584606034804,1.0,0.282,0.0,0.7200000000000003
611,0.7,0.1,10.0,0.0,0.9276868550052316,1.0,0.3880000000000002,0.0,0.6359999999999999
612,0.7,0.5,0.0,-10.0,1.0787144748257806,0.502,0.0,0.5159999999999999,1.0
613,0.7,0.5,0.0,-5.0,1.0722019353357983,0.46599999999999997,0.002,0.5160000000000001,0.9879999999999999
614,0.7,0.5,0.0,-1.0,0.7121186503018084,0.4700000000000001,0.24800000000000005,0.552,0.7539999999999998
