subjID,C,I,A,P,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,prod_error_rate,bad_subj
32,0.9565217391304348,1,0.9444444444444444,1,0.9166666666666666,1,1,1,0.5,0.9714285714285714,1,0,FALSE
33,1,1,1,1,1,1,1,1,0.8333333333333334,1,0,1,FALSE
34,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.7777777777777778,0.9166666666666666,1,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0,0,FALSE
35,0.9166666666666666,1,1,0.8888888888888888,1,1,0.8333333333333334,1,0.8055555555555556,0.9444444444444444,0,0,FALSE
36,1,1,1,1,1,1,1,1,1,1,0,0,FALSE
37,0.28,0.5454545454545454,0.6111111111111112,0.1111111111111111,0.5,0.8333333333333334,0.07692307692307693,0.2,0.4864864864864865,0.3611111111111111,1,0.7837837837837838,FALSE
38,0.8333333333333334,0.9166666666666666,1,0.7222222222222222,1,1,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0,0.8333333333333334,FALSE
39,0.5416666666666666,0.45454545454545453,1,0.05555555555555555,1,1,0.08333333333333333,0,0.6111111111111112,0.5142857142857142,1,0.3611111111111111,FALSE
40,0.6666666666666666,0.6,0.7647058823529411,0.5294117647058824,0.8333333333333334,0.6,0.5,0.6,0.7222222222222222,0.6470588235294118,2,1,FALSE
41,0.375,0.5,0.5555555555555556,0.2777777777777778,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0,0.5833333333333334,FALSE
42,0.5833333333333334,0.5454545454545454,0.5555555555555556,0.5882352941176471,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8055555555555556,0.5714285714285714,1,0.3611111111111111,FALSE
43,0.8333333333333334,0.9166666666666666,0.9444444444444444,0.7777777777777778,0.9166666666666666,1,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,0.1388888888888889,FALSE
44,0,0,0,0,0,0,0,0,0.5,0,0,0.9444444444444444,FALSE
45,0.75,0.9166666666666666,1,0.6111111111111112,1,1,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,0,FALSE
46,0.7083333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1,0.75,0,0,FALSE
47,1,1,1,1,1,1,1,1,0.5,1,0,1,FALSE
48,0.8333333333333334,0.75,0.8333333333333334,0.7777777777777778,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,0.2222222222222222,FALSE
49,0.8333333333333334,1,1,0.7777777777777778,1,1,0.6666666666666666,1,0.75,0.8888888888888888,0,0.1111111111111111,FALSE
50,0.782608695652174,0.75,1,0.5294117647058824,1,1,0.5454545454545454,0.5,0.8611111111111112,0.7714285714285715,1,0.027777777777777776,FALSE
51,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.7222222222222222,0.9166666666666666,1,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,0,FALSE
52,0,0.16666666666666666,0.11764705882352941,0,0,0.3333333333333333,0,0,0.5,0.05714285714285714,1,0.8611111111111112,FALSE
53,1,1,1,1,1,1,1,1,0.9166666666666666,1,0,0,FALSE
54,0.125,0.4166666666666667,0.3888888888888889,0.05555555555555555,0.25,0.6666666666666666,0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,0.027777777777777776,FALSE
55,1,1,1,1,1,1,1,1,0.5833333333333334,1,0,0.9722222222222222,FALSE
56,1,1,1,1,1,1,1,1,1,1,0,0,FALSE
57,0.9166666666666666,1,1,0.8888888888888888,1,1,0.8333333333333334,1,0.9166666666666666,0.9444444444444444,0,0,FALSE
58,0.16666666666666666,0.16666666666666666,0.2777777777777778,0.05555555555555555,0.25,0.3333333333333333,0.08333333333333333,0,0.5833333333333334,0.16666666666666666,0,0.8611111111111112,FALSE
59,1,1,1,1,1,1,1,1,0.9444444444444444,1,0,0,FALSE
60,1,0.9166666666666666,1,0.9444444444444444,1,1,1,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,0,FALSE
61,1,1,1,1,1,1,1,1,0,1,2,0.9722222222222222,FALSE
62,0.875,1,1,0.8333333333333334,1,1,0.75,1,0.5,0.9166666666666666,0,0.05555555555555555,FALSE
63,0.375,0.75,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,0.7222222222222222,FALSE
64,1,1,1,1,1,1,1,1,0.8888888888888888,1,0,0,FALSE
65,0.9545454545454546,1,1,0.9375,1,1,0.9,1,0.9166666666666666,0.9705882352941176,2,0.9117647058823529,FALSE
66,0.75,0.8333333333333334,1,0.5555555555555556,1,1,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0.027777777777777776,FALSE
67,0.5,0.3333333333333333,0.8888888888888888,0,1,0.6666666666666666,0,0,0.9722222222222222,0.4444444444444444,0,0.25,FALSE
68,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,1,1,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,0,FALSE
69,0.7083333333333334,0.5833333333333334,0.7222222222222222,0.6111111111111112,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,0,FALSE
70,1,1,1,1,1,1,1,1,0.8333333333333334,1,0,0,FALSE
71,1,1,1,1,1,1,1,1,0.8333333333333334,1,0,0,FALSE
72,1,0.9166666666666666,0.9444444444444444,1,1,0.8333333333333334,1,1,0.9444444444444444,0.9722222222222222,0,0,FALSE
73,0.9166666666666666,1,1,0.8888888888888888,1,1,0.8333333333333334,1,0.8888888888888888,0.9444444444444444,0,0,FALSE
74,0.9583333333333334,1,1,0.9444444444444444,1,1,0.9166666666666666,1,0.8888888888888888,0.9722222222222222,0,0.1388888888888889,FALSE
75,0.4583333333333333,0.5833333333333334,0.7777777777777778,0.2222222222222222,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1,0.5,0,0,FALSE
76,0.875,1,0.9444444444444444,0.8888888888888888,0.9166666666666666,1,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0,0.3611111111111111,FALSE
77,0.9130434782608695,1,0.9444444444444444,0.9411764705882353,0.9166666666666666,1,0.9090909090909091,1,0.7777777777777778,0.9428571428571428,1,0.9444444444444444,FALSE
78,0.7916666666666666,0.75,0.8333333333333334,0.7222222222222222,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0,FALSE
79,1,1,1,1,1,1,1,1,0.9166666666666666,1,0,0,FALSE
80,0.9583333333333334,0.9166666666666666,1,0.8888888888888888,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,0,FALSE
81,0.9583333333333334,0.9166666666666666,1,0.8888888888888888,1,1,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,0,FALSE
82,0.4166666666666667,0.5,0.6111111111111112,0.2777777777777778,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,0,FALSE
83,0.5833333333333334,0.6363636363636364,0.7777777777777778,0.4117647058823529,0.75,0.8333333333333334,0.4166666666666667,0.4,0,0.6,1,0,FALSE
84,1,1,1,1,1,1,1,1,0.9444444444444444,1,0,0,FALSE
85,0.9583333333333334,1,1,0.9444444444444444,1,1,0.9166666666666666,1,1,0.9722222222222222,0,0,FALSE
86,0.9166666666666666,0.8333333333333334,1,0.7777777777777778,1,1,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,0,FALSE
87,0.7391304347826086,0.8181818181818182,0.6111111111111112,0.9375,0.5,0.8333333333333334,1,0.8,0.8888888888888888,0.7647058823529411,2,0.027777777777777776,FALSE
88,0.875,0.9166666666666666,0.9444444444444444,0.8333333333333334,0.9166666666666666,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,0,FALSE
89,0.9583333333333334,0.9166666666666666,0.9444444444444444,0.9444444444444444,1,0.8333333333333334,0.9166666666666666,1,1,0.9444444444444444,0,0,FALSE
90,0.9166666666666666,0.9166666666666666,1,0.8333333333333334,1,1,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,0,FALSE
