,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,mid,min_rmse
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,True,1.0,0.85,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.7016420881701984
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,False,0.9473684210526316,0.8947368421052632,1,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
68,frcsr9et20201201,1.0,0.6,0.4,0.4,False,1.0,0.6,0,0.5,0.5,0.3,0.7340000000000001,0.6759999999999999,0.294,0.28,61.0,0.35771087378356603
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,True,0.95,0.55,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.587674291430141
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,False,0.9,0.8,0,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.548161556559487
71,g3raaqac20201201,0.4,1.0,0.8,0.6,False,1.0,0.6842105263157895,1,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6461447484260894
72,gksx3mam20201104,0.6,0.0,0.2,0.2,False,0.8947368421052632,0.2631578947368421,1,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.6276176263763349
73,hgg52m4220200227,0.8,0.6,0.0,0.0,True,1.0,0.35,0,0.25,0.5,0.3,0.884,0.84,0.126,0.136,36.0,0.2493526306382598
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,False,0.9473684210526316,0.7368421052631579,1,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.32858825510383693
75,jh3ododj20201104,1.0,1.0,0.8,0.8,False,1.0,0.9,0,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
76,jhs83ny320200302,0.8,0.6,0.8,0.8,True,1.0,0.75,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.4343073078210948
77,jsandtsm20201116,1.0,0.8,0.8,0.6,False,0.9,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.4396967612139682
78,jszq12ry20200302,1.0,0.75,0.4,0.6,True,0.9473684210526316,0.6842105263157895,1,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.3527225519486912
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,False,0.9473684210526316,0.5263157894736842,1,1.0,0.7,0.7,0.6579999999999999,0.624,0.4,0.358,118.0,0.12359283715466673
80,jw9595dy20201103,0.25,0.6,0.0,0.2,False,0.8947368421052632,0.2631578947368421,1,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.46299972996764405
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,False,0.95,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.4396967612139682
82,k5us58ta20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,7,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
83,ka19xw0720201118,0.6,0.5,0.0,0.6,False,0.9473684210526316,0.42105263157894735,1,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.5226210350214111
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,False,1.0,0.9,0,1.5,0.3,0.5,0.604,0.608,0.44799999999999995,0.392,132.0,0.6045103615848245
85,khmqwngv20201125,0.8,1.0,0.8,0.8,False,0.95,0.85,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.4304674221188089
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,False,0.95,0.25,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.7300261651848496
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,False,0.8571428571428571,0.0,6,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.5676752907991158
88,lavpu7s720201109,0.6666666666666666,1.0,1.0,0.8,False,1.0,0.8888888888888888,2,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6220276770213147
89,llfb9sc220201102,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
90,m5upgrz820200113,0.8,0.4,0.4,0.4,True,1.0,0.5,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.3120230800911528
91,m77dce3920200208,0.6,0.6,0.8,0.8,True,1.0,0.7,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.4298082259464878
92,mjkg31a820201102,0.6,1.0,0.6,0.6,False,0.9444444444444444,0.6666666666666666,2,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.4291697038405623
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,True,0.7333333333333333,0.8666666666666667,5,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3746587205963652
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,False,1.0,1.0,2,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
95,n10np7qf20200307,0.8,1.0,0.8,1.0,True,0.95,0.9,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.5607840961942608
96,nll42gx020201125,0.6,1.0,0.8,0.2,False,0.95,0.65,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.6480568617891667
97,nmflx2le20200308,0.8,1.0,1.0,1.0,True,1.0,0.95,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.6224993693548153
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,True,0.95,0.95,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.6224993693548153
99,nv62373d20200306,0.8,0.6,0.4,0.6,True,1.0,0.6,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.2719069798442824
100,o42peyga20200227,0.6666666666666666,0.75,0.75,1.0,True,0.9333333333333332,0.8,5,1.5,0.1,0.1,0.562,0.5820000000000001,0.428,0.45399999999999996,125.0,0.5502117813907919
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,True,1.0,0.35,0,1.0,0.9,0.3,0.574,0.562,0.44,0.38799999999999996,121.0,0.24408075506517712
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,True,1.0,0.7647058823529411,3,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.6129710136018204
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,False,0.9,0.9,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.5646690246882099
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,True,0.9444444444444444,0.7777777777777778,2,0.5,0.9,0.7,0.748,0.73,0.326,0.28,73.0,0.2887349077728874
105,p2achudm20201123,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,False,1.0,0.4,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.38996364288415986
107,pglz36nx20200127,1.0,1.0,1.0,0.8,True,1.0,0.95,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5308270069585771
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,False,0.95,0.85,0,1.5,0.7,0.1,0.598,0.5579999999999999,0.452,0.428,140.0,0.4422373855330656
109,plcd2fbz20200301,0.25,0.5,0.3333333333333333,0.5,True,1.0,0.38461538461538464,7,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.341662131033824
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,True,0.85,0.7,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.5590816218082257
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,True,0.9473684210526316,0.8947368421052632,1,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.583606160169815
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,False,0.9333333333333332,0.5333333333333333,5,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.1069935770800966
113,qokbfd8720201125,0.6,0.6,0.4,0.6,False,1.0,0.55,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.17051881396334842
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
115,r9lo90ts20200130,0.6666666666666666,1.0,0.6,1.0,True,0.9230769230769232,0.7692307692307693,7,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.6331566850738521
116,s1somgf720200211,0.4,0.4,0.2,0.0,True,0.9,0.25,0,1.0,0.3,0.7,0.606,0.5820000000000001,0.386,0.322,108.0,0.31814711075038854
117,s55aohfe20200128,0.3333333333333333,0.4,0.0,0.4,True,1.0,0.29411764705882354,3,1.5,0.9,0.5,0.5539999999999999,0.5479999999999999,0.384,0.43200000000000005,147.0,0.44199585449508616
118,svolj44520201207,1.0,1.0,0.6,1.0,False,1.0,0.9,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.618910883945605
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,True,0.9,0.65,0,0.25,0.9,0.7,0.85,0.87,0.124,0.154,48.0,0.2621189279003571
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,False,0.9473684210526316,0.9473684210526316,1,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.6436860716997499
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,True,0.95,0.85,0,1.0,0.9,0.9,0.648,0.638,0.41200000000000003,0.358,124.0,0.42850973938641446
122,tkmy795t20200211,1.0,1.0,0.8,0.8,True,1.0,0.9,0,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,True,1.0,0.9,0,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,True,0.8,0.55,0,0.75,0.9,0.9,0.636,0.688,0.35200000000000004,0.326,99.0,0.16128544139855727
125,uy7f303a20201124,1.0,0.8,0.4,0.2,False,1.0,0.6,0,0.5,0.9,0.7,0.748,0.73,0.326,0.28,73.0,0.308737475521068
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,False,1.0,0.9,0,1.5,0.7,0.3,0.628,0.644,0.434,0.406,141.0,0.3930452710559512
127,vd9r5nk020201111,1.0,0.3333333333333333,0.75,1.0,False,0.8125,0.8125,4,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.8363956752661528
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,True,0.95,0.55,0,0.25,0.7,0.1,0.8540000000000001,0.892,0.14800000000000002,0.122,40.0,0.17366808743296064
129,vomf13pu20200214,0.0,0.25,0.6666666666666666,0.5,True,1.0,0.4,10,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.6972283792462244
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,False,0.9,0.55,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.71223226268994
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,True,0.875,0.8125,4,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.4261528797616734
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,False,1.0,0.1,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.5635921342446129
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,False,0.9285714285714286,0.7857142857142857,6,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.5367155004719044
134,y5qncmp920200228,0.6,1.0,0.6,0.2,True,0.9,0.6,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.48113903675407493
135,y8u8ss9t20201107,0.75,0.6666666666666666,0.6666666666666666,1.0,False,0.8461538461538461,0.7692307692307693,7,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.5491198744581354
136,ygepr20b20201121,1.0,1.0,1.0,1.0,False,0.95,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,False,0.9473684210526316,0.6842105263157895,1,0.5,0.7,0.5,0.7040000000000001,0.726,0.27,0.304,67.0,0.35870985032903097
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,False,0.95,0.95,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5308270069585771
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,False,0.95,1.0,0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.5588035367036659
140,zes08nnl20201116,0.75,0.5,1.0,0.8,False,0.9411764705882352,0.7647058823529411,3,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.6138778545499453
