,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mAC,mAI,mPC,mPI,mid,min_rmse
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.042764393288498
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.0743984318831161
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.115569603846917
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.2975883566270697
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.06149254697386776
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.06925647984123941
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,0.25,0.3,0.7,0.888,0.8440000000000001,0.132,0.124,33.0,0.17591719643059345
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1.5,0.3,0.1,0.5920000000000001,0.588,0.428,0.428,130.0,0.0035632382276051386
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,1.0,0.1,0.7,0.584,0.616,0.43,0.368,103.0,0.2190962269567111
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.14051687917589592
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.07566985309002962
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.057552816322632434
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,58.0,0.09227760652870588
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.09439751056039561
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.08968266276153937
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,1.5,0.5,0.5,0.56,0.5720000000000001,0.45799999999999996,0.41,137.0,0.02190197860163932
