,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,alpha,egs,mAC,mAI,mPC,mPI,mid,min_rmse,r1,r2
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.0815945259601811,5.0,-0.5
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.08284640406599833,0.5,0.0
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.10862010249795691,5.0,-0.5
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.21748068113436345,10.0,-0.5
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.1377303888036333,0.5,0.0
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.15832306633378893,0.1,0.0
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.294643388974989,0.1,0.0
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,0.5,0.5,0.524,0.48200000000000004,0.418,0.55,449.0,0.04865723652928376,0.5,0.0
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.1377303888036333,0.5,0.0
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.08284640406599833,0.5,0.0
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.0815945259601811,5.0,-0.5
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.2906466870044568,5.0,-0.5
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,0.1,0.9,0.512,0.49200000000000005,0.424,0.516,131.0,0.016206994374857626,1.0,0.0
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.1679144424997445,5.0,-0.5
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,0.7,0.9,0.924,0.53,0.055999999999999994,0.49200000000000005,677.0,0.3358613702109845,5.0,0.0
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.0624203225453591,5.0,0.0
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.2611131746963374,0.1,0.0
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,0.1,1.3,0.542,0.418,0.522,0.544,157.0,0.032789124213169624,0.5,-5.0
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,0.5,0.5,0.524,0.48200000000000004,0.418,0.55,449.0,0.04865723652928376,0.5,0.0
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,0.1,0.9,0.514,0.506,0.444,0.52,124.0,0.010082658379613979,0.5,-0.1
