,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,alpha,egs,mDOC,mDOI,mPOC,mPOI,mid,min_rmse,r1,r2
113,qokbfd8720201125,0.6,0.6,0.4,0.6,False,1.0,0.55,0,0.1,0.9,0.58,0.51,0.4,0.516,136.0,0.0635741037425355,5.0,-0.1
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
115,r9lo90ts20200130,0.6666666666666666,1.0,0.6,1.0,True,0.9230769230769232,0.7692307692307693,7,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.2395193659532913,0.0,-0.1
116,s1somgf720200211,0.4,0.4,0.2,0.0,True,0.9,0.25,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.18165535132956218,0.5,0.0
117,s55aohfe20200128,0.3333333333333333,0.4,0.0,0.4,True,1.0,0.29411764705882354,3,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.16297625593932388,5.0,-0.5
118,svolj44520201207,1.0,1.0,0.6,1.0,False,1.0,0.9,0,0.7,0.5,0.672,0.49200000000000005,0.31,0.564,635.0,0.13752696705252634,1.0,0.0
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,True,0.9,0.65,0,0.3,1.3,0.82,0.522,0.15,0.5,358.0,0.280843966168642,10.0,-0.1
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,False,0.9473684210526316,0.9473684210526316,1,0.1,1.3,0.526,0.376,0.514,0.5920000000000001,156.0,0.07441550017749439,0.5,-10.0
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,True,0.95,0.85,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.18165535132956218,0.5,0.0
122,tkmy795t20200211,1.0,1.0,0.8,0.8,True,1.0,0.9,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.07653539486189816,5.0,0.0
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,True,1.0,0.9,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.07653539486189816,5.0,0.0
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,True,0.8,0.55,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.17529118631579854,0.1,0.0
125,uy7f303a20201124,1.0,0.8,0.4,0.2,False,1.0,0.6,0,0.1,0.9,0.6579999999999999,0.49,0.344,0.46399999999999997,142.0,0.3100129029572801,10.0,-0.1
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,False,1.0,0.9,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.07653539486189816,5.0,0.0
127,vd9r5nk020201111,1.0,0.3333333333333333,0.75,1.0,False,0.8125,0.8125,4,0.3,1.3,0.6679999999999999,0.162,0.35600000000000004,0.826,348.0,0.15839589641149165,5.0,-10.0
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,True,0.95,0.55,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.36954025491142367,10.0,-0.5
129,vomf13pu20200214,0.0,0.25,0.6666666666666666,0.5,True,1.0,0.4,10,0.9,0.1,0.348,0.37799999999999995,0.632,0.638,761.0,0.1940214592942406,0.0,0.0
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,False,0.9,0.55,0,0.7,0.5,0.462,0.442,0.546,0.47600000000000003,616.0,0.4810339558354136,0.0,-0.1
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,True,0.875,0.8125,4,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.11052601503718479,5.0,-0.5
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,False,1.0,0.1,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.10662863905474301,0.0,-0.1
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,False,0.9285714285714286,0.7857142857142857,6,0.7,0.1,0.486,0.39399999999999996,0.48200000000000004,0.624,587.0,0.08220300075625789,0.1,0.0
134,y5qncmp920200228,0.6,1.0,0.6,0.2,True,0.9,0.6,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.3585066247644526,0.1,0.0
135,y8u8ss9t20201107,0.75,0.6666666666666666,0.6666666666666666,1.0,False,0.8461538461538461,0.7692307692307693,7,0.9,1.3,0.522,0.38,0.462,0.6779999999999999,878.0,0.0758089264752729,0.5,-1.0
136,ygepr20b20201121,1.0,1.0,1.0,1.0,False,0.95,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,False,0.9473684210526316,0.6842105263157895,1,0.1,1.3,0.614,0.536,0.38,0.506,179.0,0.2269977973461417,10.0,0.0
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,False,0.95,0.95,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.10423690964976529,0.5,0.0
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,False,0.95,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
140,zes08nnl20201116,0.75,0.5,1.0,0.8,False,0.9411764705882352,0.7647058823529411,3,0.7,0.1,0.426,0.38,0.634,0.61,581.0,0.15887940919661891,0.0,0.0
