,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,alpha,egs,mAC,mAI,mPC,mPI,min_rmse,r1,r2
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,83.0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,0.5804771982703497,0.1,0.0
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,83.0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,0.6066800677306905,0.1,0.0
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4882750530114188,0.5,-0.1
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,113.0,0.1,0.9,0.46399999999999997,0.46799999999999997,0.43799999999999994,0.462,0.4729940602285301,0.0,0.0
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,694.0,0.7,1.3,0.504,0.49200000000000005,0.54,0.5,0.5500079474061723,0.1,-0.1
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,179.0,0.1,1.3,0.614,0.536,0.38,0.506,0.5163068301226562,10.0,0.0
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,99.0,0.1,0.5,0.638,0.512,0.322,0.516,0.4862690556413566,5.0,-0.5
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4728906900830828,0.5,-0.1
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4788603606860996,10.0,-0.5
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,677.0,0.7,0.9,0.924,0.53,0.055999999999999994,0.49200000000000005,0.59550236166735,5.0,0.0
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4739959179521489,10.0,-0.5
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,83.0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,0.4946968499250085,0.1,0.0
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,157.0,0.1,1.3,0.542,0.418,0.522,0.544,0.4851954067120364,0.5,-5.0
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4882750530114188,0.5,-0.1
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.47817132765928105,0.5,-0.1
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,358.0,0.3,1.3,0.82,0.522,0.15,0.5,0.4493235220162918,10.0,-0.1
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,76.0,0.1,0.5,0.47,0.508,0.444,0.556,0.4955520435089391,0.0,-0.1
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,81.0,0.1,0.5,0.45799999999999996,0.54,0.504,0.532,0.48727098457561224,0.1,-0.5
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,172.0,0.1,1.3,0.598,0.514,0.46799999999999997,0.494,0.3428728687377036,5.0,-0.1
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,172.0,0.1,1.3,0.598,0.514,0.46799999999999997,0.494,0.5072273034933592,5.0,-0.1
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,172.0,0.1,1.3,0.598,0.514,0.46799999999999997,0.494,0.5072273034933592,5.0,-0.1
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,317.0,0.3,0.9,0.754,0.496,0.25,0.504,0.13025137654085617,5.0,0.0
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.3469127948747693,10.0,-0.5
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.47817132765928105,0.5,-0.1
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,172.0,0.1,1.3,0.598,0.514,0.46799999999999997,0.494,0.5324451153907175,5.0,-0.1
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,401.0,0.5,0.1,0.41200000000000003,0.424,0.634,0.556,0.5047102755068528,0.0,0.0
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,341.0,0.3,1.3,0.496,0.53,0.49200000000000005,0.49,0.463507777399772,0.5,0.0
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,127.0,0.1,0.9,0.5820000000000001,0.40399999999999997,0.486,0.586,0.43472630389909134,1.0,-5.0
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4739959179521489,10.0,-0.5
