,alpha,egs,r1,r2,DOC,DOI,POC,POI
245,0.3,0.1,5,0,1,0.48,0,0.526
246,0.3,0.1,10,-10,1,0,0,1
247,0.3,0.1,10,-5,1,0,0,1
248,0.3,0.1,10,-1,1,0.086,0,0.886
249,0.3,0.1,10,-0.5,1,0.22,0,0.77
250,0.3,0.1,10,-0.1,1,0.424,0,0.598
251,0.3,0.1,10,0,1,0.436,0,0.552
252,0.3,0.5,0,-10,0.478,0.012,0.516,0.99
253,0.3,0.5,0,-5,0.466,0.134,0.504,0.898
254,0.3,0.5,0,-1,0.498,0.374,0.526,0.6
255,0.3,0.5,0,-0.5,0.482,0.424,0.532,0.566
256,0.3,0.5,0,-0.1,0.482,0.488,0.518,0.518
257,0.3,0.5,0,0,0.474,0.508,0.522,0.498
258,0.3,0.5,0.1,-10,0.522,0.016,0.518,0.988
259,0.3,0.5,0.1,-5,0.47,0.116,0.524,0.892
260,0.3,0.5,0.1,-1,0.494,0.414,0.484,0.598
261,0.3,0.5,0.1,-0.5,0.522,0.454,0.478,0.576
262,0.3,0.5,0.1,-0.1,0.54,0.476,0.548,0.526
263,0.3,0.5,0.1,0,0.53,0.478,0.502,0.524
264,0.3,0.5,0.5,-10,0.492,0.006,0.48,0.988
265,0.3,0.5,0.5,-5,0.578,0.11,0.414,0.886
266,0.3,0.5,0.5,-1,0.542,0.408,0.466,0.588
267,0.3,0.5,0.5,-0.5,0.544,0.456,0.456,0.526
268,0.3,0.5,0.5,-0.1,0.514,0.48,0.486,0.536
269,0.3,0.5,0.5,0,0.522,0.496,0.446,0.526
270,0.3,0.5,1,-10,0.594,0.024,0.408,0.986
271,0.3,0.5,1,-5,0.586,0.112,0.396,0.878
272,0.3,0.5,1,-1,0.604,0.412,0.366,0.616
273,0.3,0.5,1,-0.5,0.564,0.436,0.416,0.556
274,0.3,0.5,1,-0.1,0.588,0.46,0.424,0.492
275,0.3,0.5,1,0,0.598,0.49,0.39,0.478
